a30 4 60 
a56 4 52 
a13 0 51 
a9 5 47 
a4 6 44 
a50 3 42 
a0 7 40 
a34 3 35 
a29 3 28 
a40 11 21 
a59 12 22 
a12 18 14 
a3 22 19 
a10 29 16 
a16 37 17 
a48 42 9 
a51 39 6 
a17 40 5 
a31 37 5 
a15 36 7 
a41 33 7 
a7 33 6 
a26 31 4 
a1 32 0 
a18 30 0 
a33 17 4 
a52 14 2 
a24 8 5 
a2 7 3 
a42 2 11 
a23 18 36 
a39 18 38 
a6 15 38 
a36 21 48 
a58 22 49 
a44 17 52 
a27 29 47 
a28 34 44 
a54 37 48 
a47 44 43 
a8 47 45 
a43 53 50 
a46 58 51 
a49 56 55 
a45 58 57 
a19 50 59 
a53 55 34 
a55 56 31 
a35 59 29 
a32 59 35 
a5 49 20 
a20 50 8 
a14 57 9 
a25 57 2 
a37 39 29 
a38 34 29 
a11 30 29 
a21 32 33 
a57 27 34 
a22 28 40 
a30 4 60 
