a64 15 14 
a33 15 13 
a21 27 23 
a70 35 15 
a32 42 20 
a67 45 27 
a74 54 26 
a63 66 49 
a26 72 57 
a55 77 62 
a29 77 72 
a78 79 73 
a48 65 66 
a50 62 68 
a16 59 59 
a42 55 63 
a20 54 54 
a7 48 50 
a51 38 53 
a15 40 54 
a25 44 55 
a4 44 58 
a61 44 58 
a45 37 60 
a76 40 64 
a68 49 73 
a28 49 72 
a3 53 80 
a35 47 79 
a62 38 79 
a9 29 79 
a24 20 71 
a2 10 76 
a22 7 77 
a79 16 68 
a75 20 70 
a46 27 67 
a49 12 66 
a66 5 51 
a41 9 49 
a12 19 48 
a14 24 46 
a60 26 48 
a43 25 39 
a59 10 42 
a37 3 43 
a44 8 36 
a73 21 41 
a40 17 24 
a1 5 5 
a0 14 7 
a56 19 6 
a38 37 5 
a57 44 5 
a58 53 3 
a23 61 0 
a72 62 6 
a30 69 8 
a36 76 1 
a8 64 16 
a17 52 14 
a39 67 23 
a54 72 18 
a6 78 28 
a11 77 31 
a53 67 42 
a77 73 46 
a27 68 37 
a65 69 35 
a31 61 28 
a71 60 38 
a10 60 42 
a13 54 53 
a69 58 47 
a19 46 42 
a52 39 39 
a47 43 34 
a18 41 29 
a5 37 27 
a34 19 16 
a64 15 14 
