a32 40 19 
a30 41 24 
a8 42 24 
a39 46 29 
a41 45 33 
a13 47 33 
a4 47 35 
a5 49 38 
a25 35 47 
a0 34 44 
a44 33 41 
a26 31 41 
a46 34 36 
a15 18 31 
a21 15 26 
a49 15 21 
a6 7 21 
a27 2 27 
a20 3 41 
a1 7 40 
a11 8 41 
a47 6 46 
a12 14 50 
a2 26 48 
a24 27 46 
a28 26 44 
a34 24 41 
a36 27 34 
a31 25 30 
a38 28 17 
a40 29 6 
a19 30 1 
a17 18 1 
a42 17 5 
a16 2 7 
a9 11 8 
a14 20 12 
a18 25 22 
a23 34 30 
a35 34 25 
a10 32 19 
a33 35 13 
a43 36 9 
a22 38 9 
a29 42 5 
a3 43 7 
a7 42 9 
a48 45 9 
a45 40 13 
a37 39 13 
a32 40 19 
