a46 27 67 
a75 20 70 
a24 20 71 
a9 29 79 
a62 38 79 
a35 47 79 
a3 53 80 
a68 49 73 
a28 49 72 
a42 55 63 
a16 59 59 
a20 54 54 
a13 54 53 
a69 58 47 
a10 60 42 
a71 60 38 
a27 68 37 
a65 69 35 
a11 77 31 
a6 78 28 
a54 72 18 
a39 67 23 
a8 64 16 
a30 69 8 
a36 76 1 
a72 62 6 
a23 61 0 
a58 53 3 
a17 52 14 
a57 44 5 
a38 37 5 
a70 35 15 
a32 42 20 
a5 37 27 
a21 27 23 
a34 19 16 
a56 19 6 
a0 14 7 
a1 5 5 
a33 15 13 
a64 15 14 
a40 17 24 
a43 25 39 
a73 21 41 
a59 10 42 
a44 8 36 
a37 3 43 
a41 9 49 
a66 5 51 
a49 12 66 
a22 7 77 
a2 10 76 
a79 16 68 
a12 19 48 
a14 24 46 
a60 26 48 
a52 39 39 
a19 46 42 
a7 48 50 
a25 44 55 
a61 44 58 
a4 44 58 
a15 40 54 
a51 38 53 
a47 43 34 
a18 41 29 
a67 45 27 
a74 54 26 
a31 61 28 
a53 67 42 
a77 73 46 
a63 66 49 
a26 72 57 
a55 77 62 
a78 79 73 
a29 77 72 
a48 65 66 
a50 62 68 
a76 40 64 
a45 37 60 
a46 27 67 
