a0 75 67
a1 62 62
a2 29 67
a3 97 43
a4 79 80
a5 70 29
a6 95 25
a7 60 76
a8 28 66
a9 86 47
a10 59 0
a11 8 35
a12 75 40
a13 96 84
a14 32 54
a15 21 14
a16 20 52
a17 20 36
a18 50 91
a19 3 28
a20 10 30
a21 17 10
a22 92 97
a23 12 25
a24 68 11
a25 69 74
a26 19 23
a27 6 79
a28 47 60
a29 33 61
a30 61 27
a31 99 59
a32 55 48
a33 49 37
a34 77 54
a35 1 86
a36 76 28
a37 80 26
a38 70 3
a39 94 6
a40 97 31
a41 61 84
a42 41 34
a43 51 71
a44 13 75
a45 87 58
a46 96 91
a47 15 66
a48 76 56
a49 34 66
a50 45 53
a51 4 52
a52 94 68
a53 32 94
a54 76 46
a55 70 19
a56 8 69
a57 6 73
a58 70 66
a59 65 37
a60 16 82
a61 60 24
a62 89 100
a63 96 76
a64 82 14
a65 84 39
a66 78 50
a67 31 20
a68 89 18
a69 94 60
a70 38 95
a71 32 15
a72 14 40
a73 34 78
a74 74 38
a75 0 98
a76 22 16
a77 18 46
a78 12 32
a79 61 2
a80 2 27
a81 63 92
a82 63 82
a83 52 75
a84 27 6
a85 64 69
a86 48 59
a87 52 98
a88 77 77
a89 14 93
a90 37 88
a91 88 14
a92 61 52
a93 45 21
a94 59 73
a95 99 39
a96 50 22
a97 64 12
a98 61 94
a99 56 52
